"","CODIGO_UNIDAD_COMPRA","UNIDAD_COMPRA","CODIGO_PROCESO","MODALIDAD","ESTADO_PROCESO","FECHA_PUBLICACION","ID_ARTICULO","SUBCLASE_UNSPSC","DESCRIPCION_SUBCLASE","DESCRIPCION_ARTICULO","CANTIDAD","ABR_UNIDAD_MEDIDA","DESCRIPCION_UNIDAD_MEDIDA","PRECIO_UNITARIO_ESTIMADO","MONTO_TOTAL_ESTIMADO","CUENTA_PRESUPUESTARIA"
"1","000195","Sistema Unico de Beneficiarios (SIUBEN)","SIUBEN-DAF-CM-2019-0013","Compras Menores","Proceso adjudicado y celebrado",2019-03-13 15:00:06,12462773,51121709,"Carvedilol","Carvedilol 25 MG, 30/1",5,"CAJ","Caja",450,2250,"2.3.4.1.01"
"2","000195","Sistema Unico de Beneficiarios (SIUBEN)","SIUBEN-DAF-CM-2019-0048","Compras Menores","Proceso adjudicado y celebrado",2019-08-22 15:01:30,17325498,51121709,"Carvedilol","Carvedilol 25 MG. 30/1",5,"UD","Unidad",227,1135,"2.3.4.1.01"
"3","000195","Sistema Unico de Beneficiarios (SIUBEN)","SIUBEN-DAF-CM-2019-0048","Compras Menores","Proceso adjudicado y celebrado",2019-08-22 15:01:30,17325589,51121709,"Carvedilol","Carvedilol 6.25 mg 30/1",5,"UD","Unidad",300,1500,"2.3.4.1.01"
"4","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2018-0011","Licitación Pública Nacional","Proceso adjudicado y celebrado",2018-11-28 10:36:14,7857215,51101701,"Albendazol","110(9032) Carvedilol",4700000,"UD","Unidad",0,2209000,"2.3.4.1.01"
"5","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2018-0011","Licitación Pública Nacional","Proceso adjudicado y celebrado",2018-11-28 10:36:14,7857216,51101701,"Albendazol","111(9031) Carvedilol",2400000,"UD","Unidad",0,936000,"2.3.4.1.01"
"6","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2019-0007","Licitación Pública Nacional","Proceso adjudicado y celebrado",2019-10-24 11:15:04,18787299,51142103,"Diclofenaco potásico","114-9031-CARVEDILOL; 6.25 mg; COMPRIMIDO ORAL; BLISTER",2800000,"UD","Unidad",0,1092000,"2.3.4.1.01"
"7","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2019-0007","Licitación Pública Nacional","Proceso adjudicado y celebrado",2019-10-24 11:15:04,18787300,51142103,"Diclofenaco potásico","113-9033-CARVEDILOL; 25 mg; COMPRIMIDO ORAL; BLISTER",1e+06,"UD","Unidad",5,5e+06,"2.3.4.1.01"
"8","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2019-0007","Licitación Pública Nacional","Proceso adjudicado y celebrado",2019-10-24 11:15:04,18787301,51142103,"Diclofenaco potásico","112-9032-CARVEDILOL; 12.5 mg; COMPRIMIDO ORAL; BLISTER",5e+06,"UD","Unidad",0,2350000,"2.3.4.1.01"
"9","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2020-0001","Licitación Pública Nacional","Proceso adjudicado y celebrado",2020-01-22 15:00:00,20883124,51101503,"Cloranfenicol","161(9033) CARVEDILOL; 25 mg; COMPRIMIDO ORAL; BLISTER",1e+06,"UD","Unidad",5,5e+06,"2.3.4.1.01"
"10","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2020-0001","Licitación Pública Nacional","Proceso adjudicado y celebrado",2020-01-22 15:00:00,20883125,51101503,"Cloranfenicol","160(9032) CARVEDILOL; 12.5 mg; COMPRIMIDO ORAL; BLISTER",5e+06,"UD","Unidad",0,2350000,"2.3.4.1.01"
"11","000582","Programa de Medicamentos Esenciales","PROMESECAL-MAE-PEUR-2020-0002","Procesos de Excepción","Proceso adjudicado y celebrado",2020-04-29 12:00:03,22739740,51101503,"Cloranfenicol","50(9033) Carvedilol 25 mg/Comp./Tab.",2e+05,"UD","Unidad",5,1e+06,"2.3.4.1.01"
"12","000582","Programa de Medicamentos Esenciales","PROMESECAL-MAE-PEUR-2020-0002","Procesos de Excepción","Proceso adjudicado y celebrado",2020-04-29 12:00:03,22739741,51101503,"Cloranfenicol","49(9032) Carvedilol 12.5 mg /Comprimido/Tab.",1500000,"UD","Unidad",0,705000,"2.3.4.1.01"
"13","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2021-0001","Licitación Pública Nacional","Proceso adjudicado y celebrado",2021-03-08 09:00:30,29865296,51121709,"Carvedilol","(126)9032-Carvedilol 12.5 mg 12.5 mg Blister",2700000,"UD","Unidad",1,1404000,"2.3.4.1.01"
"14","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2021-0001","Licitación Pública Nacional","Proceso adjudicado y celebrado",2021-03-08 09:00:30,29865297,51121709,"Carvedilol","(127)9033-Carvedilol 25 mg/Comp./Tab. Blister",1e+06,"UD","Unidad",6,5500000,"2.3.4.1.01"
"15","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2021-0001","Licitación Pública Nacional","Proceso adjudicado y celebrado",2021-03-08 09:00:30,29865298,51121709,"Carvedilol","(128)9031-Carvedilol 6.25 mg Comp. 6.25 mg/Comp. Blister",1200000,"UD","Unidad",0,516000,"2.3.4.1.01"
"16","000207","Programa Progresando con Solidaridad","PPS-UC-CD-2021-0134","Compras por Debajo del Umbral","Proceso adjudicado y celebrado",2021-02-22 17:30:03,30211854,73101701,"Servicios de producción de medicamentos o medicinas","Carvedilol IF 6.25 MG Frasco",1,"UD","Unidad",15000,15000,"2.2.9.1.01"
"17","000582","Programa de Medicamentos Esenciales","PROMESECAL-MAE-PEUR-2021-0006","Procesos de Excepción","Proceso adjudicado y celebrado",2021-05-12 09:00:02,31754168,51121709,"Carvedilol","(84)9033(Carvedilol  25 mg/Comp./Tab.  Blister",360000,"UD","Unidad",6,1980000,"2.3.4.1.01"
"18","000582","Programa de Medicamentos Esenciales","PROMESECAL-MAE-PEUR-2021-0006","Procesos de Excepción","Proceso adjudicado y celebrado",2021-05-12 09:00:02,31754169,51121709,"Carvedilol","(85)9032(Carvedilol 12.5 mg  12.5 mg /Comprimido/Tab.  Blister",9e+05,"UD","Unidad",1,468000,"2.3.4.1.01"
"19","000582","Programa de Medicamentos Esenciales","PROMESECAL-MAE-PEUR-2021-0006","Procesos de Excepción","Proceso adjudicado y celebrado",2021-05-12 09:00:02,31754170,51121709,"Carvedilol","(86)9031(Carvedilol 6.25 mg Comp.  6.25 mg/Comp.  Blister",5e+05,"UD","Unidad",0,215000,"2.3.4.1.01"
"20","000172","Armada de República Dominicana","ARD-CCC-CP-2021-0031","Comparación de Precios","Proceso adjudicado y celebrado",2021-09-15 17:59:28,37086959,51121709,"Carvedilol","CARVEDILOL 12.5 CAJA X 30 TABLETAS",10,"CAJ","Caja",1550,15500,"2.3.4.1.01"
"21","000172","Armada de República Dominicana","ARD-CCC-CP-2021-0031","Comparación de Precios","Proceso adjudicado y celebrado",2021-09-15 17:59:28,37086960,51121709,"Carvedilol","CARVEDILOL 25MG CAJA X 30 TABLETAS",10,"CAJ","Caja",1950,19500,"2.3.4.1.01"
"22","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2021-0009","Licitación Pública Nacional","Proceso adjudicado y celebrado",2021-11-02 10:01:54,38538813,51121709,"Carvedilol","(47)9032(CARVEDILOL; 12.5 mg; COMPRIMIDO ORAL; BLISTER",1500000,"UD","Unidad",1,780000,"2.3.4.1.01"
"23","000582","Programa de Medicamentos Esenciales","PROMESECAL-CCC-LPN-2021-0009","Licitación Pública Nacional","Proceso adjudicado y celebrado",2021-11-02 10:01:54,38538814,51121709,"Carvedilol","(48)9031(CARVEDILOL; 6.25 mg; COMPRIMIDO ORAL; BLISTER",8e+05,"UD","Unidad",0,344000,"2.3.4.1.01"
"24","000206","Dirección General de Desarrollo Comunidad","DGDC-DAF-CM-2022-0004","Compras Menores","Cancelado",2022-02-17 14:01:15,44014171,51101503,"Cloranfenicol","Carvedilol 8.25MG X 100 Tabs",5,"CAJ","Caja",909,4545,"2.3.4.1.01"
"25","000151","Hospital Ramón de Lara FFAA","HOSP RAMON DE LARA-DAF-CM-2018-0038","Compras Menores","Proceso adjudicado y celebrado",2018-02-19 15:15:02,4699472,51121709,"Carvedilol","Carvedilol tabletas de 12.5mg.",2000,"UD","Unidad",22,44000,"2.3.4.1.01"
"26","000151","Hospital Ramón de Lara FFAA","HOSP RAMON DE LARA-DAF-CM-2018-0077","Compras Menores","Proceso adjudicado y celebrado",2018-04-04 16:10:02,5603490,51142219,"Fentanilo","Carvedilol tabs. 12.5mg",2000,"UD","Unidad",22,44000,"2.3.4.1.01"
"27","000151","Hospital Ramón de Lara FFAA","HOSP RAMON DE LARA-DAF-CM-2018-0109","Compras Menores","Cancelado",2018-05-14 11:40:05,6515283,51121709,"Carvedilol","Carvedilol tabs. 12.5mg",2000,"UD","Unidad",22,44000,"2.3.4.1.01"
"28","000151","Hospital Ramón de Lara FFAA","HOSP RAMON DE LARA-DAF-CM-2018-0141","Compras Menores","Proceso adjudicado y celebrado",2018-06-18 11:35:04,7083789,51142219,"Fentanilo","Carvedilol tabletas 12.5mg",2000,"UD","Unidad",19,38000,"2.3.4.1.01"
"29","000151","Hospital Ramón de Lara FFAA","HOSP RAMON DE LARA-DAF-CM-2018-0159","Compras Menores","Cancelado",2018-07-02 11:10:04,7343055,51121709,"Carvedilol","Carvedilol tabletas de 12.5mg.",2000,"UD","Unidad",20,40000,"2.3.4.1.01"
